Cluster ID,Latitude,Longitude,Estimated?,Average Count,Average GDD
1,43.8764625835,-89.711672293,False,2.506410256410258,17.2775395019778
2,43.18952266111111,-90.1077888588889,False,2.2115530303030297,19.26938941190075
3,44.12785978,-89.48612359375,False,2.718406593406595,16.9518919579969
4,44.11167528,-90.06123747,False,4.433333333333335,19.308540922228
5,44.25567895636363,-89.19999421545455,False,2.371843434343434,19.237423644286704
6,44.069098055454546,-89.61315398727272,False,2.6979166666666674,17.5947838204245
7,44.6067666,-89.52228990214284,False,5.379040404040403,16.456663663025697
8,43.685113547499995,-89.511814935,True,,
9,44.12592839,-89.72391099222222,False,4.6015078671328675,17.42140869583745
10,44.24144518041667,-89.37777714666667,False,3.6727564102564125,16.6630249772469
11,43.84670501666667,-89.91160581222222,False,2.38782051282051,17.1769821324181
12,44.23629404111111,-89.61344697888889,False,6.211805555555557,14.890457435867935
13,44.020278626999996,-89.426439633,False,1.4963034188034194,19.488521377361668
14,44.029853964,-89.848280488,False,2.0511363636363624,18.55878029792845
15,43.170581695,-89.8997344,False,1.9375,18.0123517396706
16,44.629217196666666,-89.35163108333332,True,,
17,43.83127968181818,-89.77851567363636,False,2.6351981351981344,17.408854492690352
18,44.25141845375,-89.50942940625,False,2.4628739316239314,17.669374442664832
19,44.496103175,-89.03585462000001,True,,
20,44.27028085,-89.944693364,False,2.4375,17.4557887797381
21,44.42700388125,-89.276211635,False,4.36577380952381,16.537634846062367
22,43.98490073,-89.62335219947369,False,4.742074592074592,17.9437995886115
23,44.00157602625,-89.3160971025,False,5.0,18.1667209628811
24,43.789269249090914,-89.74884319545454,False,1.4842032967032976,17.6178928318837
25,43.3074546,-89.759761805,False,2.959325396825395,17.71798446370575
26,43.96919913,-89.78176232833333,True,,
27,44.137626139285715,-89.61198254214285,False,5.228729603729603,17.5474432971669
28,44.18133526352941,-89.59586810235294,False,2.830729166666665,17.6602334062986
29,44.34370307666667,-89.32080540952381,False,2.4992765567765574,17.721617339949
30,44.165505464666666,-89.39843152333333,False,4.481425518925518,16.501238715593033
31,43.7270073,-89.30690192,True,,
32,44.36201760307692,-89.64609731461539,False,5.083333333333335,17.3066166788482
33,43.67269719,-89.71795258750001,True,,
34,44.35773163833333,-89.17325395583333,False,4.1618589743589745,17.8632489544774
35,44.297757126923074,-89.46565876692307,False,3.34002976190476,15.92358277811795
36,44.539114803000004,-89.452244122,False,4.24294871794872,16.6539498356254
37,44.12287445736842,-89.55756953263158,False,3.5987711825211814,17.49524037729567
38,44.67142565,-89.41097389,True,,
39,43.173202995555556,-89.97185868888889,False,4.340451388888889,18.242161887421
40,43.93772439666666,-89.64240874416667,False,5.58611111111111,18.8497642636423
41,44.220875105000005,-89.741025945,False,2.386363636363635,17.6919048889869
42,44.109757923000004,-89.789025483,False,1.9608516483516452,17.6048867400245
43,44.20520437,-89.99099318833333,False,0.0,16.3528837762832
44,43.202538038,-90.19882436399999,False,2.263717532467534,17.045245592489575
45,44.098590056666666,-89.16721200333335,True,,
46,44.210949017999994,-89.439193226,True,,
47,44.046236406666665,-89.57118044055557,False,2.278166971916973,17.307539886812833
48,43.741283663125,-89.506255591875,True,,
49,43.955436445,-89.45819381300001,False,3.985714285714285,16.0030628176012
50,43.93355686615385,-89.83070130538461,True,,
51,44.184927082631575,-89.53566496894737,False,2.8819940476190475,16.1764484656332
52,43.60678075333333,-89.62254919000002,True,,
53,43.982404545,-89.9209452675,False,1.54230587121212,17.029970768696348
54,44.84130986,-89.57621507,True,,
55,44.21325255,-89.60895337666666,False,4.493449259074259,17.147347532170475
56,44.42152233142857,-89.46657778,True,,
57,44.28759854,-89.5724365375,True,,
58,44.183815620000004,-89.21429376428571,True,,
59,44.63271228888889,-89.29080587222222,False,4.330128205128204,17.055292538220748
60,43.837492420000004,-89.577366435,True,,
61,44.483552325000005,-89.33694163333332,False,3.410164835164835,16.1893580147244
62,43.917980462307696,-89.69542833923077,False,6.046207264957263,17.61612905365787
63,44.00191602923077,-89.60039337153846,False,3.422668997668999,17.05910166281786
64,44.172489748749996,-89.423318550625,False,4.200625763125761,16.68305407628313
65,43.78597942909091,-89.70611416818181,True,,
66,44.05761310833333,-89.77729719333333,False,3.0563973063973067,17.634694099495302
67,44.15876886411765,-89.6347409317647,False,4.1510989010989,17.0334049295547
68,44.06101295,-89.36823343,True,,
69,44.01458372846154,-89.64649537615385,False,4.96875,18.6565828037651
70,44.289150624,-89.42256516,False,5.498678404928405,15.06473742595505
71,44.072852640952384,-89.5583789952381,False,5.3697374847374855,17.528206797639765
72,44.006237892499996,-89.239244995,False,2.65,18.2229584030769
73,44.35187177333333,-89.435723505,True,,
74,43.877719833125,-89.747489133125,False,4.758928571428569,17.1689168855898
75,44.362352045,-89.25603939125,False,5.134615384615385,18.0503952938071
76,44.43388731666666,-89.61695549166666,False,5.096153846153845,17.6200796507306
77,44.208614216,-89.41113585866667,False,2.5094114219114223,16.747711092342897
78,44.640065175555556,-89.48714320666666,True,,
79,44.00541200866667,-89.87906174066667,False,1.8231247918747915,16.893639545093666
80,44.38483080333333,-89.10124615333332,True,,
81,43.82010969333333,-89.82704479222222,True,,
82,44.26930851714286,-89.15050030428571,True,,
83,44.08184846666666,-89.24476986666667,True,,
84,44.57679448636364,-89.44958682636364,False,5.1696131993007,16.967328806753926
85,43.7311608425,-89.7110891725,True,,
86,44.18722970272727,-89.95279603818182,False,1.8877632783882783,17.780495897503968
87,44.001335392499996,-89.48877248,True,,
88,44.2561305428,-89.47308569680001,False,4.395230067551497,16.30147538404607
89,44.14884761631579,-89.58856047736842,False,5.044881507381508,17.4583492179048
90,44.066409706,-90.046482684,True,,
91,44.20444609333333,-89.36868121733333,False,4.400276806526806,16.401115150798226
92,43.92733103142857,-89.92072429857141,False,2.204545454545455,15.5096623528688
93,43.86476978,-89.31578744,True,,
94,44.327101775,-89.931940465,True,,
95,44.121163849999995,-89.34585218333332,False,4.052083333333335,18.7763539876475
96,44.22624407,-89.83245763,True,,
97,43.8608832975,-89.68826859375,False,1.7330357142857142,18.019313788250003
98,44.37027851,-89.6989806925,True,,
99,44.02633697333333,-89.61165702,False,3.9775578588078595,18.120982900622028
100,43.774755435,-89.80271872,True,,
101,44.290393733636364,-89.39085563363636,True,,
102,44.15250681636364,-89.47498419818182,False,3.7578926282051275,17.150885866914997
103,43.87701737933333,-89.78160346,False,1.58403361344538,17.7262069486714
104,44.31999272571428,-89.49829331857143,True,,
105,44.23867682947368,-89.41815436894737,False,3.04616355866356,17.021991885184033
106,44.21337894133333,-89.64882818266666,False,6.394570707070708,17.60876552804735
107,43.96073549714286,-89.73064802571427,True,,
108,44.29296898454545,-89.21779588,False,2.45886752136752,18.132362009126734
109,44.15973301,-89.07027854,True,,
110,44.245186968,-89.548078473,True,,
111,43.87891600625,-89.61380469375,False,2.71087962962963,19.988413145577436
112,43.82016045,-89.42968543,True,,
